Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
03/29/2020,282,20,130,4,29,48,54,50,50,30,17,0,128,154,0,55,11,145,38,10,23,0,1,0,1,4,4,6,4,0,3,17,0,2,2,14,2,0,0,0,5,12,25,23,27,24,14,0,57,73,0,21,3,92,11,2,1
03/01/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0
03/02/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0
03/03/2020,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,3,0,0,0
03/04/2020,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,3,0,0,0,3,1,0,0
03/05/2020,1,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,2,4,0,0,0,2,4,0,0
07/23/2020,315,2,25,33,101,67,43,35,17,12,7,0,187,127,1,93,13,78,72,14,45,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,3,6,2,5,2,5,2,0,13,12,0,12,1,8,3,1,0
07/12/2020,97,4,13,7,32,15,19,11,4,7,2,0,53,44,0,26,4,26,19,4,18,0,0,0,0,0,2,0,2,0,2,2,0,0,0,1,3,0,0,1,2,0,1,2,2,5,0,0,4,9,0,2,2,7,2,0,0
03/08/2020,3,0,9,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,2,0,3,6,0,2,0,5,2,0,0
05/18/2020,946,33,85,67,236,152,190,149,83,46,23,0,495,439,12,428,10,147,71,38,252,0,0,2,2,2,5,10,12,0,13,20,0,10,1,13,9,0,0,1,11,8,10,16,10,14,15,0,42,43,0,32,0,35,13,4,1
03/10/2020,11,0,8,1,2,3,2,0,0,2,1,0,8,3,0,0,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,0,4,4,0,0,0,5,1,2,0
04/13/2020,692,33,154,10,99,115,127,161,89,53,38,0,352,336,4,237,25,211,94,31,94,0,0,1,5,3,8,7,9,0,15,18,0,11,2,17,3,0,0,1,5,11,11,41,29,28,28,0,67,87,0,37,6,69,27,12,3
06/13/2020,121,18,17,13,26,19,14,22,14,7,6,0,66,55,0,46,0,22,17,8,28,0,0,0,0,3,5,5,5,0,11,7,0,3,1,6,8,0,0,0,2,0,4,2,3,1,5,0,9,8,0,6,0,7,4,0,0
04/12/2020,341,33,137,28,32,56,54,60,46,34,31,0,142,182,17,91,7,116,56,21,50,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0,0,3,7,16,31,29,30,21,0,55,81,1,33,4,68,25,7,0
04/10/2020,571,32,156,22,79,102,98,108,85,42,35,0,251,309,11,163,26,212,76,26,68,0,0,1,3,3,3,9,13,0,11,21,0,3,2,24,3,0,0,0,9,10,22,19,39,27,30,0,63,92,1,50,4,70,22,10,0
06/23/2020,233,8,20,12,72,43,37,27,16,17,9,0,117,115,1,95,7,42,47,4,38,0,0,0,0,0,3,2,3,0,3,5,0,3,0,4,1,0,0,0,2,1,4,4,3,3,3,0,11,9,0,7,0,7,4,2,0
03/11/2020,12,0,9,0,3,1,3,3,2,0,0,0,3,9,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,4,5,0,2,0,5,2,0,0
03/09/2020,5,0,3,3,0,0,0,0,0,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,1,1,0
04/06/2020,583,22,202,5,78,97,102,110,94,56,41,0,300,274,9,137,20,233,98,27,68,0,0,0,2,5,1,8,6,0,9,13,0,3,0,16,3,0,0,0,6,22,16,42,59,30,27,0,109,91,2,45,10,113,21,10,3
04/08/2020,704,36,173,11,86,100,107,154,129,69,48,0,320,346,38,170,21,298,103,33,79,0,0,0,1,7,8,9,11,0,13,23,0,3,2,22,9,0,0,1,1,14,16,37,41,37,26,0,64,108,1,38,5,88,30,12,0
07/20/2020,390,5,17,53,92,90,55,46,36,14,4,0,196,190,4,160,9,85,69,17,50,0,0,1,1,0,2,1,0,0,2,3,0,3,0,1,1,0,0,1,1,3,2,2,4,3,1,0,12,5,0,6,0,10,0,0,1
08/13/2020,393,4,19,39,117,80,74,40,24,11,8,0,212,178,3,181,7,71,88,14,32,0,0,0,0,1,0,3,0,0,1,3,0,2,0,1,1,0,0,0,3,1,5,0,3,6,1,0,11,8,0,6,0,10,1,1,1
04/25/2020,634,38,115,32,121,120,132,106,67,32,24,0,307,324,3,264,14,106,78,24,148,0,0,2,1,6,6,11,12,0,14,24,0,12,2,19,5,0,0,0,5,11,12,25,28,19,15,0,50,65,0,43,3,39,18,12,0
09/08/2020,367,1,16,36,120,79,56,39,23,9,5,0,179,188,0,171,7,39,76,8,66,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,2,3,4,3,0,5,11,0,8,0,5,3,0,0
03/17/2020,96,1,28,0,15,21,18,17,19,2,4,0,37,58,1,7,3,38,40,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,2,7,8,3,4,0,8,20,0,3,0,20,5,0,0
08/06/2020,348,4,16,38,113,73,52,30,22,11,9,0,177,170,1,138,6,79,77,13,35,0,0,0,0,0,2,1,1,0,3,1,0,1,1,1,1,0,0,1,4,1,0,5,1,1,3,0,7,9,0,5,0,5,5,0,1
06/20/2020,124,10,16,18,32,17,21,19,5,9,3,0,64,60,0,69,1,15,18,4,17,0,0,1,0,2,2,1,4,0,3,7,0,8,0,1,1,0,0,3,3,2,1,2,2,0,3,0,9,7,0,10,0,4,2,0,0
08/12/2020,433,2,23,51,118,94,72,54,29,9,6,0,224,206,3,177,1,81,90,20,64,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,2,1,3,4,8,3,2,0,10,13,0,10,0,8,3,1,1
,151,0,377,5,33,28,27,26,17,10,5,0,74,70,7,28,8,41,13,7,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,48,52,63,58,56,49,35,0,176,194,7,125,14,139,65,19,15
04/24/2020,1076,53,167,30,180,171,185,190,157,73,90,0,495,533,48,417,29,219,148,59,204,0,1,2,0,6,12,15,17,0,19,34,0,14,2,22,15,0,0,3,4,22,16,34,41,25,22,0,77,89,1,66,4,59,26,11,1
05/26/2020,753,23,54,61,161,129,138,126,76,40,22,0,394,353,6,356,15,114,59,37,172,0,0,0,0,2,8,9,4,0,8,15,0,7,1,12,3,0,0,2,4,6,5,17,10,5,5,0,29,25,0,19,0,24,8,2,1
06/29/2020,280,7,24,22,89,56,36,40,17,9,11,0,137,140,3,103,3,62,51,9,52,0,0,0,0,0,2,2,3,0,4,3,0,3,0,2,2,0,0,1,4,2,2,5,6,1,3,0,9,15,0,10,0,10,3,0,1
09/18/2020,339,3,13,40,94,69,41,44,33,9,9,0,154,183,2,136,11,44,67,15,66,0,0,0,0,0,0,1,2,0,1,2,0,0,0,1,2,0,0,0,0,0,0,2,2,3,6,0,8,4,1,1,0,7,4,0,1
06/02/2020,246,25,38,14,33,44,45,32,34,18,26,0,116,108,22,83,10,50,17,11,75,0,0,1,0,3,3,4,14,0,12,13,0,15,2,5,3,0,0,0,4,3,2,7,8,9,5,0,18,20,0,17,1,11,8,1,0
08/20/2020,403,3,14,46,115,77,60,59,32,10,4,0,222,177,4,170,6,71,84,14,58,0,0,0,1,0,2,0,0,0,2,1,0,2,0,0,1,0,0,0,2,3,2,3,3,1,0,0,9,5,0,6,1,2,5,0,0
07/01/2020,262,13,17,16,96,51,31,27,25,6,10,0,153,108,1,92,1,64,55,4,46,0,0,0,3,2,2,2,4,0,5,8,0,6,0,4,3,0,0,0,0,0,1,5,4,3,4,0,8,9,0,5,1,8,3,0,0
08/03/2020,420,3,24,55,121,87,66,46,24,14,7,0,216,202,2,214,10,67,67,17,45,0,0,0,0,0,1,1,1,0,2,1,0,1,0,1,1,0,0,1,1,1,3,7,2,6,3,0,7,17,0,10,1,8,3,2,0
07/07/2020,344,4,22,36,107,69,54,46,19,8,5,0,185,158,1,98,12,91,68,12,63,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0,0,2,3,2,5,3,5,2,0,8,14,0,4,2,11,4,1,0
06/18/2020,184,14,27,24,43,34,30,29,9,5,10,0,94,86,4,80,3,31,25,5,40,0,0,1,1,0,5,4,3,0,7,7,0,6,0,7,1,0,0,1,2,6,3,1,3,5,6,0,16,11,0,11,0,8,8,0,0
05/03/2020,464,45,137,10,97,77,76,81,66,30,27,0,209,246,9,197,8,114,41,21,83,0,0,0,2,4,13,13,13,0,20,25,0,20,0,16,9,0,0,2,10,17,17,27,21,22,21,0,60,77,0,58,1,40,20,14,4
05/14/2020,776,45,99,49,167,152,132,108,95,43,30,0,396,368,12,327,13,161,73,32,170,1,0,4,1,5,5,7,22,0,22,23,0,13,4,21,6,1,0,2,5,5,13,9,34,19,12,0,43,56,0,37,1,39,15,4,3
08/14/2020,346,3,20,55,84,64,60,40,26,10,7,0,178,162,6,134,5,67,79,14,47,0,0,0,0,0,1,1,1,0,1,2,0,1,0,2,0,0,0,0,1,2,2,2,4,5,4,0,11,9,0,3,0,14,3,0,0
05/24/2020,280,27,70,16,56,42,48,33,47,22,16,0,150,130,0,117,2,49,17,12,83,0,0,0,4,2,6,8,7,0,14,13,0,9,0,12,6,0,0,0,6,5,3,14,22,10,10,0,39,31,0,24,1,30,8,4,3
04/07/2020,555,24,197,2,83,106,94,84,80,54,52,0,292,256,7,164,15,197,90,28,61,0,0,0,1,5,4,9,5,0,11,13,0,6,0,16,0,2,0,0,6,14,23,34,48,33,39,0,88,105,4,41,8,101,36,11,0
06/04/2020,320,15,27,27,92,63,54,40,26,10,8,0,160,157,3,144,4,65,23,9,75,0,0,2,1,0,6,4,2,0,6,9,0,6,1,8,0,0,0,0,7,1,5,4,6,3,1,0,16,11,0,9,1,11,4,1,1
07/11/2020,155,2,17,9,69,22,22,13,12,8,0,0,79,76,0,33,3,43,34,13,29,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,5,1,1,1,4,4,1,0,8,9,0,4,0,12,1,0,0
06/21/2020,47,11,13,4,16,11,3,7,2,3,1,0,28,19,0,16,1,10,6,2,12,0,0,1,0,1,3,3,3,0,6,5,0,4,0,3,4,0,0,1,2,0,1,2,3,3,1,0,8,5,0,6,0,4,2,1,0
07/24/2020,345,3,19,37,102,77,47,39,21,11,11,0,195,148,2,128,12,74,64,11,56,0,0,1,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,5,2,3,2,3,0,9,10,0,7,1,8,3,0,0
05/08/2020,924,44,92,52,169,191,196,153,85,44,34,0,441,464,19,436,16,138,77,44,213,0,0,0,1,4,13,12,14,0,21,23,0,15,0,15,14,0,0,0,7,8,9,19,15,13,21,0,43,49,0,35,2,35,12,6,2
03/07/2020,3,0,3,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,1,1,1,0
05/15/2020,972,48,79,80,186,201,167,136,102,64,36,0,539,424,9,447,11,157,84,36,237,0,0,2,1,7,14,12,12,0,15,33,0,18,0,12,16,2,0,0,12,7,14,8,14,11,13,0,47,32,0,26,1,34,15,0,3
04/09/2020,577,25,156,9,83,102,104,130,74,40,35,0,257,311,9,173,24,208,82,28,62,0,0,0,0,3,7,5,10,0,13,12,0,5,1,14,5,0,0,2,5,12,17,34,32,30,24,0,66,84,6,29,6,86,28,6,1
07/25/2020,159,8,16,29,35,34,25,16,8,9,3,0,81,78,0,58,7,34,32,9,19,0,0,0,1,1,3,1,2,0,4,4,0,2,0,3,3,0,0,0,0,3,3,1,4,3,2,0,9,7,0,2,0,9,4,1,0
06/26/2020,218,13,23,18,61,49,29,25,17,11,8,0,121,96,1,68,4,42,41,5,58,0,0,1,2,0,0,4,6,0,6,7,0,1,0,5,7,0,0,2,0,1,2,4,6,3,5,0,9,14,0,5,2,12,2,2,0
06/06/2020,170,20,31,18,33,22,36,28,20,9,4,0,88,82,0,81,1,25,24,6,33,0,0,1,1,0,7,7,4,0,7,13,0,8,1,9,2,0,0,0,5,4,2,5,9,2,4,0,10,21,0,13,0,11,6,0,1
04/16/2020,680,30,154,8,119,114,119,122,95,62,41,0,320,352,8,233,15,201,93,29,109,0,0,0,2,3,6,8,11,0,14,16,0,5,3,16,6,0,0,0,6,10,15,33,33,33,24,0,55,97,2,44,2,72,23,11,2
04/19/2020,460,35,159,7,66,61,66,75,75,50,60,0,209,249,2,142,20,172,55,23,48,0,0,0,3,7,8,5,12,0,11,24,0,13,3,13,4,2,0,1,13,8,16,36,30,30,25,0,71,87,1,57,7,61,22,9,3
06/07/2020,110,20,27,3,30,29,16,13,8,7,4,0,52,58,0,43,3,22,9,4,29,0,0,1,2,1,8,1,7,0,7,13,0,10,0,8,2,0,0,0,5,5,5,4,4,4,0,0,16,11,0,13,2,9,1,1,1
04/18/2020,535,39,163,12,89,101,96,90,81,44,22,0,244,286,5,179,17,161,60,21,97,0,0,0,3,4,8,12,12,0,20,19,0,12,5,20,2,0,0,1,7,17,19,36,39,27,17,0,61,102,0,53,4,74,22,8,2
09/05/2020,199,4,18,24,58,38,34,21,17,6,1,0,93,106,0,81,2,23,38,5,50,0,0,1,0,1,0,1,1,0,1,3,0,2,0,2,0,0,0,0,1,2,3,3,4,2,3,0,11,7,0,6,0,6,6,0,0
09/29/2020,373,6,17,45,102,69,63,45,25,20,4,0,195,175,3,146,11,42,68,14,92,0,0,0,0,0,3,2,1,0,1,5,0,2,0,3,1,0,0,1,1,4,1,2,4,2,2,0,8,9,0,8,2,5,1,0,1
08/08/2020,177,3,11,22,56,27,32,18,14,3,5,0,94,81,2,66,6,39,34,8,24,0,0,0,1,1,0,1,0,0,0,3,0,2,0,1,0,0,0,0,0,0,2,2,3,1,3,0,4,7,0,5,1,5,0,0,0
09/22/2020,331,2,17,40,100,66,47,36,20,12,10,0,159,165,7,142,8,43,58,10,70,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,3,2,1,2,4,3,2,0,7,10,0,7,0,6,2,2,0
09/06/2020,141,2,7,16,43,29,17,18,10,3,5,0,72,68,1,55,0,27,35,3,21,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,2,2,1,0,4,3,0,4,0,3,0,0,0
08/09/2020,115,2,11,16,41,21,12,6,9,6,4,0,53,62,0,41,4,17,36,2,15,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,4,1,0,2,2,0,2,0,8,3,0,1,0,9,0,0,1
08/16/2020,122,3,11,10,40,29,9,15,10,7,1,1,57,63,2,27,6,18,41,9,21,0,0,1,0,1,0,1,0,0,2,1,0,0,0,1,2,0,0,0,4,0,1,0,5,0,1,0,6,4,1,6,1,3,0,0,1
04/23/2020,1467,36,165,32,194,205,223,241,244,161,167,0,734,644,89,475,20,366,178,69,359,0,1,1,4,3,9,8,10,0,9,27,0,13,2,14,7,0,0,1,6,13,22,27,39,30,27,0,76,87,2,60,6,58,28,11,2
06/01/2020,236,21,51,21,51,35,34,35,17,17,26,0,136,99,1,87,8,50,36,12,43,0,0,0,1,2,4,4,10,0,12,9,0,6,1,10,3,0,1,1,3,9,5,9,6,9,9,0,25,26,0,16,0,25,7,1,2
07/29/2020,444,3,13,56,130,95,67,50,28,12,6,0,230,207,7,179,7,98,87,20,53,0,0,0,1,0,1,0,1,0,2,1,0,1,0,2,0,0,0,1,3,1,5,1,2,0,0,0,3,10,0,5,0,4,2,2,0
08/02/2020,94,3,15,11,19,29,10,6,12,6,1,0,44,49,1,26,2,27,23,6,10,0,0,0,2,0,0,1,0,0,0,3,0,1,0,1,1,0,0,0,3,6,2,2,1,1,0,0,8,7,0,5,0,7,2,1,0
05/27/2020,611,26,49,70,124,100,116,82,65,32,22,0,316,284,11,301,8,106,50,21,125,0,0,2,1,1,7,7,8,0,10,16,0,10,1,10,5,0,0,0,4,5,10,6,8,8,8,0,22,27,0,17,1,15,14,1,1
09/11/2020,336,5,17,52,92,81,38,37,19,15,2,0,166,169,1,147,3,39,73,14,60,0,0,1,0,2,0,1,1,0,0,5,0,4,0,1,0,0,0,0,2,2,1,4,4,2,2,0,7,10,0,11,1,3,2,0,0
07/30/2020,342,2,13,49,78,80,49,50,25,7,4,0,175,166,1,155,11,71,57,8,40,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,1,1,1,2,2,1,4,1,0,7,6,0,4,1,5,3,0,0
03/22/2020,169,2,76,6,23,28,31,37,24,14,6,0,75,94,0,22,6,82,50,6,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,6,9,13,15,13,14,5,0,37,38,1,12,4,49,7,3,1
07/04/2020,62,5,13,8,15,10,13,6,7,2,1,0,32,28,2,12,1,17,12,3,17,0,0,0,0,0,2,1,2,0,1,4,0,4,0,0,0,1,0,2,0,0,1,5,1,2,2,0,8,5,0,1,0,7,1,1,3
09/14/2020,424,3,16,62,104,92,65,57,27,9,8,0,221,201,2,187,9,61,86,7,74,0,0,0,0,1,0,1,1,0,1,2,0,3,0,0,0,0,0,1,4,0,1,2,4,2,2,0,7,9,0,8,0,5,3,0,0
06/30/2020,266,3,23,25,92,59,39,24,16,5,6,0,136,129,1,107,3,53,48,3,52,0,0,0,0,0,1,2,0,0,2,1,0,1,0,1,1,0,0,1,4,2,3,3,6,2,2,0,11,12,0,8,0,11,4,0,0
08/04/2020,367,2,27,48,105,68,56,38,31,17,4,0,200,164,3,170,10,69,60,15,43,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,4,2,4,2,7,6,2,0,15,12,0,7,3,13,4,0,0
07/26/2020,95,6,11,7,23,24,11,16,8,4,2,0,47,48,0,27,3,18,26,3,18,0,0,0,0,1,1,1,3,0,3,3,0,1,0,3,2,0,0,0,1,1,1,4,2,0,2,0,4,7,0,3,0,5,3,0,0
03/28/2020,250,4,132,2,28,54,37,44,38,28,19,0,138,111,1,37,5,135,42,10,21,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,1,0,0,1,5,11,17,32,21,23,22,0,71,61,0,22,3,85,15,6,1
09/04/2020,384,2,16,58,100,80,51,37,32,16,10,0,201,181,2,181,10,68,74,9,42,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,3,1,2,2,2,3,3,0,11,5,0,8,0,7,1,0,0
08/23/2020,113,1,19,9,35,13,20,15,11,8,2,0,59,54,0,37,1,23,35,5,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,2,4,2,3,3,1,0,6,13,0,7,0,6,4,1,1
05/25/2020,252,23,60,7,34,35,41,43,49,26,17,0,123,126,3,76,6,67,44,3,56,0,0,1,0,4,4,7,7,0,11,12,0,5,0,10,7,1,0,2,7,3,5,6,12,10,15,0,30,30,0,18,2,31,5,1,3
04/15/2020,630,31,147,21,92,108,110,124,86,47,42,0,303,325,2,231,21,178,64,45,91,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0,1,6,13,17,32,35,30,13,0,66,81,0,48,1,68,22,6,2
04/01/2020,459,24,183,3,56,69,87,84,90,41,29,0,236,204,19,98,19,221,62,15,44,0,0,1,1,1,7,6,8,0,12,12,0,3,1,19,0,0,1,1,5,13,26,40,42,31,25,0,78,99,6,38,5,101,27,8,4
07/08/2020,310,4,21,37,100,70,39,32,19,11,2,0,160,149,1,90,8,71,54,12,75,0,0,0,0,0,2,1,1,0,3,1,0,2,0,1,1,0,0,1,5,2,1,2,3,4,3,0,10,11,0,7,1,7,4,0,2
09/24/2020,401,3,14,51,113,85,64,45,28,9,6,0,196,203,2,165,6,38,80,6,106,0,0,0,0,1,1,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,4,4,4,2,0,0,5,9,0,4,0,4,4,1,1
07/28/2020,335,3,10,38,86,75,68,33,19,9,7,0,187,145,3,154,11,74,46,10,40,0,0,0,1,0,0,1,1,0,1,2,0,0,0,2,1,0,0,1,2,4,1,0,0,1,1,0,8,2,0,4,0,5,1,0,0
03/18/2020,162,1,37,2,31,32,40,23,18,11,5,0,80,82,0,19,8,64,62,3,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,5,7,9,8,6,0,11,26,0,6,3,20,7,0,1
